nsub,bloque,altura,condicion,itrial,distancia,respuesta
4.0,3.0,1.0,0.0,3.0,4.2,2.5
4.0,3.0,1.0,0.0,4.0,6.0,3.5
4.0,3.0,1.0,0.0,2.0,2.9,1.5
4.0,3.0,1.0,0.0,1.0,2.0,1.0
4.0,3.0,1.0,0.0,4.0,6.0,4.0
4.0,3.0,1.0,0.0,2.0,2.9,1.5
4.0,3.0,1.0,0.0,1.0,2.0,0.5
4.0,3.0,1.0,0.0,1.0,2.0,1.0
4.0,3.0,1.0,0.0,4.0,6.0,4.0
4.0,3.0,1.0,0.0,3.0,4.2,4.5
4.0,3.0,1.0,0.0,2.0,2.9,2.0
4.0,3.0,1.0,0.0,3.0,4.2,2.5
4.0,3.0,1.0,0.0,3.0,4.2,3.5
4.0,3.0,1.0,0.0,2.0,2.9,2.0
4.0,3.0,1.0,0.0,3.0,4.2,3.0
4.0,3.0,1.0,0.0,2.0,2.9,1.5
4.0,3.0,1.0,0.0,1.0,2.0,0.5
4.0,3.0,1.0,0.0,1.0,2.0,0.25
4.0,3.0,1.0,0.0,4.0,6.0,4.0
4.0,3.0,1.0,0.0,4.0,6.0,4.5
