nsub,bloque,altura,condicion,itrial,distancia,respuesta
21.0,0.0,0.0,0.0,1.0,2.0,2.0
21.0,0.0,0.0,0.0,1.0,2.0,1.0
21.0,0.0,0.0,0.0,1.0,2.0,2.0
21.0,0.0,0.0,0.0,2.0,2.9,5.0
21.0,0.0,0.0,0.0,4.0,6.0,9.0
21.0,0.0,0.0,0.0,1.0,2.0,4.0
21.0,0.0,0.0,0.0,1.0,2.0,3.0
21.0,0.0,0.0,0.0,3.0,4.2,7.0
21.0,0.0,0.0,0.0,4.0,6.0,6.0
21.0,0.0,0.0,0.0,2.0,2.9,7.0
21.0,0.0,0.0,0.0,3.0,4.2,5.0
21.0,0.0,0.0,0.0,3.0,4.2,7.0
21.0,0.0,0.0,0.0,3.0,4.2,8.0
21.0,0.0,0.0,0.0,4.0,6.0,5.0
21.0,0.0,0.0,0.0,2.0,2.9,4.0
21.0,0.0,0.0,0.0,3.0,4.2,6.0
21.0,0.0,0.0,0.0,2.0,2.9,5.0
21.0,0.0,0.0,0.0,2.0,2.9,7.0
21.0,0.0,0.0,0.0,1.0,2.0,2.0
21.0,0.0,0.0,0.0,4.0,6.0,8.0
