nsub,bloque,altura,condicion,itrial,distancia,respuesta
19.0,2.0,0.0,2.0,1.0,2.0,1.5
19.0,2.0,0.0,2.0,3.0,4.2,1.5
19.0,2.0,0.0,2.0,1.0,2.0,1.5
19.0,2.0,0.0,2.0,1.0,2.0,1.5
19.0,2.0,0.0,2.0,4.0,6.0,1.2
19.0,2.0,0.0,2.0,3.0,4.2,1.2
19.0,2.0,0.0,2.0,1.0,2.0,1.2
19.0,2.0,0.0,2.0,4.0,6.0,1.1
19.0,2.0,0.0,2.0,1.0,2.0,1.0
19.0,2.0,0.0,2.0,3.0,4.2,1.0
19.0,2.0,0.0,2.0,1.0,2.0,1.0
19.0,2.0,0.0,2.0,4.0,6.0,1.0
19.0,2.0,0.0,2.0,4.0,6.0,1.0
19.0,2.0,0.0,2.0,4.0,6.0,2.5
19.0,2.0,0.0,2.0,2.0,2.9,2.0
19.0,2.0,0.0,2.0,2.0,2.9,1.0
19.0,2.0,0.0,2.0,3.0,4.2,1.5
19.0,2.0,0.0,2.0,2.0,2.9,1.0
19.0,2.0,0.0,2.0,3.0,4.2,2.0
19.0,2.0,0.0,2.0,2.0,2.9,2.5
