nsub,bloque,altura,condicion,itrial,distancia,respuesta
2.0,5.0,1.0,2.0,3.0,4.2,0.8
2.0,5.0,1.0,2.0,3.0,4.2,2.0
2.0,5.0,1.0,2.0,1.0,2.0,1.0
2.0,5.0,1.0,2.0,3.0,4.2,1.5
2.0,5.0,1.0,2.0,2.0,2.9,1.0
2.0,5.0,1.0,2.0,4.0,6.0,2.0
2.0,5.0,1.0,2.0,4.0,6.0,2.5
2.0,5.0,1.0,2.0,1.0,2.0,1.0
2.0,5.0,1.0,2.0,2.0,2.9,2.0
2.0,5.0,1.0,2.0,2.0,2.9,2.0
2.0,5.0,1.0,2.0,2.0,2.9,2.5
2.0,5.0,1.0,2.0,1.0,2.0,1.5
2.0,5.0,1.0,2.0,3.0,4.2,2.0
2.0,5.0,1.0,2.0,3.0,4.2,2.0
2.0,5.0,1.0,2.0,2.0,2.9,1.5
2.0,5.0,1.0,2.0,3.0,4.2,1.0
2.0,5.0,1.0,2.0,4.0,6.0,2.5
2.0,5.0,1.0,2.0,4.0,6.0,2.0
2.0,5.0,1.0,2.0,4.0,6.0,2.0
2.0,5.0,1.0,2.0,1.0,2.0,0.8
