nsub,bloque,altura,condicion,itrial,distancia,respuesta
17.0,2.0,0.0,2.0,3.0,4.2,7.0
17.0,2.0,0.0,2.0,3.0,4.2,5.0
17.0,2.0,0.0,2.0,2.0,2.9,3.0
17.0,2.0,0.0,2.0,2.0,2.9,2.0
17.0,2.0,0.0,2.0,4.0,6.0,9.0
17.0,2.0,0.0,2.0,4.0,6.0,7.0
17.0,2.0,0.0,2.0,3.0,4.2,8.0
17.0,2.0,0.0,2.0,2.0,2.9,6.0
17.0,2.0,0.0,2.0,3.0,4.2,4.0
17.0,2.0,0.0,2.0,4.0,6.0,7.0
17.0,2.0,0.0,2.0,2.0,2.9,4.0
17.0,2.0,0.0,2.0,1.0,2.0,4.0
17.0,2.0,0.0,2.0,3.0,4.2,7.0
17.0,2.0,0.0,2.0,1.0,2.0,4.0
17.0,2.0,0.0,2.0,1.0,2.0,4.0
17.0,2.0,0.0,2.0,3.0,4.2,6.0
17.0,2.0,0.0,2.0,2.0,2.9,7.0
17.0,2.0,0.0,2.0,1.0,2.0,3.0
17.0,2.0,0.0,2.0,4.0,6.0,8.0
17.0,2.0,0.0,2.0,1.0,2.0,5.0
