nsub,bloque,altura,condicion,itrial,distancia,respuesta
10.0,3.0,1.0,0.0,1.0,2.0,1.0
10.0,3.0,1.0,0.0,4.0,6.0,3.0
10.0,3.0,1.0,0.0,4.0,6.0,5.0
10.0,3.0,1.0,0.0,4.0,6.0,6.0
10.0,3.0,1.0,0.0,4.0,6.0,10.0
10.0,3.0,1.0,0.0,2.0,2.9,5.0
10.0,3.0,1.0,0.0,3.0,4.2,8.0
10.0,3.0,1.0,0.0,1.0,2.0,1.0
10.0,3.0,1.0,0.0,2.0,2.9,3.0
10.0,3.0,1.0,0.0,4.0,6.0,6.0
10.0,3.0,1.0,0.0,3.0,4.2,7.0
10.0,3.0,1.0,0.0,1.0,2.0,0.5
10.0,3.0,1.0,0.0,3.0,4.2,3.0
10.0,3.0,1.0,0.0,2.0,2.9,2.5
10.0,3.0,1.0,0.0,1.0,2.0,0.5
10.0,3.0,1.0,0.0,3.0,4.2,5.0
10.0,3.0,1.0,0.0,3.0,4.2,7.0
10.0,3.0,1.0,0.0,1.0,2.0,1.0
10.0,3.0,1.0,0.0,2.0,2.9,4.0
10.0,3.0,1.0,0.0,2.0,2.9,3.0
