nsub,bloque,altura,condicion,itrial,distancia,respuesta
9.0,2.0,0.0,2.0,3.0,4.2,1.0
9.0,2.0,0.0,2.0,3.0,4.2,2.0
9.0,2.0,0.0,2.0,1.0,2.0,0.5
9.0,2.0,0.0,2.0,1.0,2.0,0.5
9.0,2.0,0.0,2.0,2.0,2.9,1.0
9.0,2.0,0.0,2.0,2.0,2.9,2.0
9.0,2.0,0.0,2.0,3.0,4.2,1.0
9.0,2.0,0.0,2.0,2.0,2.9,1.0
9.0,2.0,0.0,2.0,4.0,6.0,2.0
9.0,2.0,0.0,2.0,2.0,2.9,1.0
9.0,2.0,0.0,2.0,3.0,4.2,1.0
9.0,2.0,0.0,2.0,1.0,2.0,0.5
9.0,2.0,0.0,2.0,3.0,4.2,3.0
9.0,2.0,0.0,2.0,4.0,6.0,1.0
9.0,2.0,0.0,2.0,4.0,6.0,2.0
9.0,2.0,0.0,2.0,2.0,2.9,1.0
9.0,2.0,0.0,2.0,1.0,2.0,0.5
9.0,2.0,0.0,2.0,3.0,4.2,1.0
9.0,2.0,0.0,2.0,1.0,2.0,0.5
9.0,2.0,0.0,2.0,4.0,6.0,1.0
