nsub,bloque,altura,condicion,itrial,distancia,respuesta
3.0,5.0,1.0,2.0,4.0,6.0,3.0
3.0,5.0,1.0,2.0,1.0,2.0,2.0
3.0,5.0,1.0,2.0,4.0,6.0,4.0
3.0,5.0,1.0,2.0,2.0,2.9,2.0
3.0,5.0,1.0,2.0,2.0,2.9,2.0
3.0,5.0,1.0,2.0,3.0,4.2,4.0
3.0,5.0,1.0,2.0,1.0,2.0,3.0
3.0,5.0,1.0,2.0,1.0,2.0,3.0
3.0,5.0,1.0,2.0,1.0,2.0,3.0
3.0,5.0,1.0,2.0,2.0,2.9,2.0
3.0,5.0,1.0,2.0,4.0,6.0,4.0
3.0,5.0,1.0,2.0,4.0,6.0,4.0
3.0,5.0,1.0,2.0,3.0,4.2,4.0
3.0,5.0,1.0,2.0,3.0,4.2,4.0
3.0,5.0,1.0,2.0,3.0,4.2,5.0
3.0,5.0,1.0,2.0,1.0,2.0,2.0
3.0,5.0,1.0,2.0,4.0,6.0,3.0
3.0,5.0,1.0,2.0,4.0,6.0,3.0
3.0,5.0,1.0,2.0,2.0,2.9,3.0
3.0,5.0,1.0,2.0,3.0,4.2,3.5
