nsub,bloque,altura,condicion,itrial,distancia,respuesta
12.0,0.0,0.0,0.0,4.0,6.0,5.0
12.0,0.0,0.0,0.0,3.0,4.2,5.0
12.0,0.0,0.0,0.0,4.0,6.0,5.0
12.0,0.0,0.0,0.0,2.0,2.9,3.0
12.0,0.0,0.0,0.0,1.0,2.0,1.0
12.0,0.0,0.0,0.0,1.0,2.0,1.0
12.0,0.0,0.0,0.0,2.0,2.9,1.0
12.0,0.0,0.0,0.0,2.0,2.9,3.0
12.0,0.0,0.0,0.0,2.0,2.9,3.0
12.0,0.0,0.0,0.0,3.0,4.2,5.0
12.0,0.0,0.0,0.0,2.0,2.9,5.0
12.0,0.0,0.0,0.0,4.0,6.0,6.0
12.0,0.0,0.0,0.0,3.0,4.2,6.0
12.0,0.0,0.0,0.0,3.0,4.2,6.0
12.0,0.0,0.0,0.0,4.0,6.0,6.0
12.0,0.0,0.0,0.0,1.0,2.0,1.0
12.0,0.0,0.0,0.0,1.0,2.0,1.0
12.0,0.0,0.0,0.0,4.0,6.0,3.0
12.0,0.0,0.0,0.0,1.0,2.0,2.0
12.0,0.0,0.0,0.0,4.0,6.0,6.0
